rank,institute
1,Indian Institute of Technology Madras
2,Indian Institute of Technology Delhi
3,Indian Institute of Technology Bombay
4,Indian Institute of Technology Kanpur
5,Indian Institute of Technology Kharagpur
6,Indian Institute of Technology Roorkee
7,Indian Institute of Technology Hyderabad
8,Indian Institute of Technology Guwahati
9,National Institute of Technology Tiruchirappalli
10,Indian Institute of Technology (Banaras Hindu University) Varanasi
11,Birla Institute of Technology & Science Pilani
12,Indian Institute of Technology Indore
13,National Institute of Technology Rourkela
14,S.R.M. Institute of Science and Technology
15,Indian Institute of Technology (Indian School of Mines) Dhanbad
16,Vellore Institute of Technology
17,National Institute of Technology Karnataka Surathkal
18,Jadavpur University
19,Indian Institute of Technology Patna
20,Anna University
21,National Institute of Technology Calicut
22,Siksha O Anusandhan
23,Amrita Vishwa Vidyapeetham
24,Jamia Millia Islamia
25,Indian Institute of Technology Gandhinagar
26,Indian Institute of Technology Mandi
27,Indian Institute of Technology Jodhpur
28,National Institute of Technology Warangal
29,Thapar Institute of Engineering and Technology
30,Delhi Technological University
31,Chandigarh University
32,Indian Institute of Technology Ropar
33,Kalasalingam Academy of Research and Education
34,Aligarh Muslim University
35,Koneru Lakshmaiah Education Foundation University
36,Kalinga Institute of Industrial Technology
37,Amity University
38,International Institute of Information Technology Hyderabad
39,Indian Institute of Technology Bhubaneswar
40,Shanmugha Arts Science Technology & Research Academy
41,Institute of Chemical Technology
42,Malaviya National Institute of Technology Jaipur
43,UPES
44,Visvesvaraya National Institute of Technology Nagpur
45,Saveetha Institute of Medical and Technical Sciences
46,Symbiosis International
47,Sri Sivasubramaniya Nadar College of Engineering
48,Lovely Professional University
49,National Institute of Technology Durgapur
50,National Institute of Technology Silchar
